Move,Column2,Column3
Whirlwind,0,"target is switched out for another Pokemon, in the wild, the target starts fleeing if able"
Wide Guard,2 per battle,creates a 5x5 zone where Pokemon cannot be targeted by ranged moves
Wild Charge,3 per battle,recoil - 1d6
Will-O-Wisp,3 per battle,target is burned (save 9)
Wing Attack,0,-
Wish,2 per battle,"one turn after this move is used, user or its replacement regain HP equal to (user's Grade) d10"
Withdraw,0,"user's Defense stat is increased by +2, minor action to maintain"
Wonder Room,2 per battle,"creates a 5x5 zone, any Pokemon in this zone has its Defense and Sp. Defense swapped"
Wood Hammer,3 per battle,recoil - 1d12
Work Up,0,"user's Attack and Sp. Attack are increased by +1, minor action to maintain"
Worry Seed,2 per battle,target gains the insomnia ability until the end of the Battle
Wrap,0,??
Wring Out,1 per battle,"if target is at 100% health, this move deals 3d10 damage, if the target is above 50%, this move deals 2d10 damage, if the target is below 50% health, this move deals 1d10 damage"
X-Scissor,3 per battle,-
Yawn,2 per battle,target falls asleep at the end of its next turn
Zap Cannon,1 per battle,"on successful hit, target is paralyzed (save 9)"
Zen Headbutt,3 per battle,"trigger 6, target is dazed (save 9)"
Zing Zap,2 per battle,"trigger 6, target is dazed (save 11)"
